word,translation,progress,usage
maleriet,painting,1,"Malerierne på væggen var fra en lokal kunstner."
portrættet,portrait,1,"Portrættet hang over pejsen og forestillede en gammel mand."
blomsterne,flowers,1,"Blomsterne i haven blomstrer om foråret."
planterne,plants,1,"Planterne skal vandes hver uge for at holde sig grønne."
træerne,trees,1,"Træerne i skoven var meget gamle og majestætiske."
terrariet,terrarium,1,"Slangen blev holdt i terrariet med varme lamper."
hylden,shelf,1,"Hylderne var fyldt med bøger og små dekorationer."
skabet,cupboard,1,"Skabet i køkkenet er stort og har mange hylder."
grammofonen,gramophone,1,"Grammofonen spillede gamle plader med klassisk musik."
klædeskabet,closet,1,"Klædeskabet var fyldt med tøj i forskellige farver."
højttalerne,speakers,1,"Højttalerne spillede musik hele aftenen til festen."
vinylen,vinyl,1,"Vinylerne blev opbevaret i en trækasse for at beskytte dem."
puden,pillow,1,"Puderne blev lagt på sengen for ekstra komfort."
gulvet,floor,1,"Gulvene blev vasket i dag og skinner nu."
loftet,ceiling,1,"Loftet var højt og buet, hvilket gav rummet en åben følelse."
gardinerne,curtains,1,"Gardinerne blev trukket for for at blokere solen."
tæppet,blanket/carpet,1,"Tæppet på gulvet var nyt og meget blødt."
skoene,shoes,1,"Skoene blev stillet i entreen efter brug."
frakken,coat,1,"Frakkerne hang på knagen ved døren."
jakken,jacket,1,"Jakken blev lagt over stolen efter en lang dag."
tørklædet,scarf,1,"Tørklædet blev viklet om halsen for at holde varmen."
nøglerne,keys,1,"Nøglerne lå på bordet ved siden af telefonen."
ledningen,cable,1,"Ledningerne var rullet sammen for at undgå rod."
kosten,broom,1,"Kosten blev brugt til at feje gulvet for støv og snavs."
lyskontakten,light switch,1,"Lyskontakten sidder ved døren og er nem at nå."
gryden,pot,1,"Gryderne stod i skabet klar til madlavning."
gruset,ground/gravel,1,"Gruset på stien var løst og knasede under fødderne."
vaskemaskinen,washing machine,1,"Vaskemaskinen blev sat i gang med en stor bunke tøj."
bruseren,shower,1,"Bruseren dryppede lidt og skulle repareres."
tørretumbleren,dryer,1,"Tørretumbleren blev brugt til sengetøj, så det blev tørt hurtigt."
tandpastaen,toothpaste,1,"Tandpastaen smagte af mint og gav frisk ånde."
tandbørsten,toothbrush,1,"Tandbørsterne blev lagt i koppen efter brug."
toilettet,toilet,1,"Toilettet blev rengjort i morges, så det var skinnende rent."
fugtighedscremen,hydrating cream,1,"Fugtighedscremen blev påført efter badet for at holde huden blød."
hårbørsten,hair comb,1,"Hårbørsten lå på bordet ved spejlet."
shampooen,shampoo,1,"Shampooen blev brugt under badet og efterlod håret blødt."
toiletpapiret,toilet paper,1,"Toiletpapiret var ved at løbe tørt, så vi skulle købe mere."
showergelen,shower gel,1,"Showergelen dufter af citrus og føles frisk på huden."
flisen,tile,1,"Fliserne i badeværelset var hvide og lette at rengøre."
skyllet,flush,1,"Skyllet virkede ikke, så vi måtte fikse toilettet."
